title,link,domain,published_date,topic
"Black Lives Matter founders, Rosa Parks and other civil rights activists among USA TODAY Women of the Century",https://www.usatoday.com/in-depth/life/women-of-the-century/2020/08/13/blm-civil-rights-woman-history-feminism-metoo-movement/5491816002/,usatoday.com,2020-08-13 19:20:00,NATION
Embracer Group acquires eight new studios including DECA Games,https://www.pocketgamer.biz/news/74182/embracer-group-acquires-eight-new-studios/,pocketgamer.biz,2020-08-13 14:20:00,TECHNOLOGY
"1,100-acre, $200M wellness resort proposed west of Atlanta",https://www.bizjournals.com/atlanta/news/2020/08/14/douglas-county-wellness-resort.html,bizjournals.com,2020-08-14 08:00:00,BUSINESS
Asim Riaz and Himanshi Khurana weave an intriguing story of love in 'Dil Ko Maine Di Kasam' by Arijit Singh,https://www.pinkvilla.com/tv/news-gossip/asim-riaz-and-himanshi-khurana-weave-intriguing-story-love-dil-ko-maine-di-kasam-arijit-singh-555531,pinkvilla.com,2020-08-10 05:47:07,ENTERTAINMENT
Federal officials shielded from Ruby Princess inquiry,https://www.smh.com.au/politics/federal/federal-officials-shielded-from-ruby-princess-inquiry-20200810-p55kda.html,smh.com.au,2020-08-10 06:58:00,NATION
AT&T Wants $1.5 Billion in Crunchyroll Sale to Sony,https://www.theinformation.com/articles/at-t-wants-1-5-billion-in-crunchyroll-sale-to-sony,theinformation.com,2020-08-12 16:27:00,BUSINESS
Coronavirus - Zambia: COVID-19 Daily Status Update (15th August 2020),https://www.cnbcafrica.com/africa-press-office/2020/08/16/coronavirus-zambia-covid-19-daily-status-update-15th-august-2020/,cnbcafrica.com,2020-08-16 05:49:00,WORLD
Eight US service members presumed dead after sea accident,https://www.bbc.com/news/world-us-canada-53628588,bbc.com,2020-08-02 15:18:16,WORLD
Latest wacky Xiaomi patent details a smartphone with a detachable display,https://www.notebookcheck.net/Latest-wacky-Xiaomi-patent-details-a-smartphone-with-a-detachable-display.484160.0.html,notebookcheck.net,2020-08-05 02:42:19,TECHNOLOGY
One more person with coronavirus has died in Greater Manchester's hospitals,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/one-more-person-coronavirus-died-18713373,manchestereveningnews.co.uk,2020-08-04 14:09:00,HEALTH
"Los Angeles County Coronavirus Update: Total Cases Pass 200,000 As Deaths Approach 5,000",https://www.yahoo.com/entertainment/los-angeles-county-coronavirus-total-000540032.html,yahoo.com,2020-08-07 00:15:44,HEALTH
Charging for rooftop solar exports “not needed and not fair”,https://reneweconomy.com.au/charging-for-rooftop-solar-exports-not-needed-and-not-fair-41736/,reneweconomy.com.au,2020-08-14 05:05:00,BUSINESS
"Nokia to soon launch 32-inch, 50-inch SmartTVs in India: Here's what you need to know",https://www.indiatvnews.com/technology/news-nokia-to-soon-launch-32-inch-50-inch-smarttvs-in-india-640499,indiatvnews.com,2020-08-08 07:47:31,TECHNOLOGY
"‘Innoson Vehicle Manufacturing only imports engine, light’",https://www.vanguardngr.com/2020/08/innoson-vehicle-manufacturing-only-imports-engine-light/,vanguardngr.com,2020-08-11 08:50:00,NATION
"Petrol and diesel prices rose by average of 3p a litre in July, figures show",https://www.thesun.co.uk/money/12304488/petrol-diesel-prices-rise-3p-litre-july/,thesun.co.uk,2020-08-03 22:13:00,BUSINESS
Man United 'to sell five players this summer' and more rumours,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/pereira-man-utd-transfer-news-18776212,manchestereveningnews.co.uk,2020-08-15 19:45:00,SPORTS
"I'm Sleeping Comfortably Now, Thanks to a New Mattress",https://musculardystrophynews.com/2020/08/11comfortable-sleep-new-mattress-things-look-for/,musculardystrophynews.com,2020-08-11 14:00:00,BUSINESS
Coronavirus testing in Ballarat: premier pushes for people to get COVID-19 tests,https://www.thecourier.com.au/story/6881571/premier-renews-calls-for-ballarat-people-to-get-tested-for-covid-19/,thecourier.com.au,2020-08-17 01:30:00,HEALTH
COVID-19: SeaDream joins other cruise lines impacted by virus after resuming sailing,https://www.usatoday.com/story/travel/cruises/2020/08/04/hurtigruten-cruise-norway-ship-passengers-have-covid-19-paul-gauguin/5579738002/,usatoday.com,2020-08-04 19:22:27,WORLD
Republican senator gives Trump 'big stick' to carry as election nears,https://www.thestar.com.my/news/world/2020/08/05/republican-senator-gives-trump-039big-stick039-to-carry-as-election-nears,thestar.com.my,2020-08-04 17:05:00,WORLD
AIAPGET 2020: Doctors file plea in SC seeking postponement of AYUSH PG entrance exam- Details,https://www.timesnownews.com/education/article/aiapget-2020-doctors-file-plea-in-sc-seeking-postponement-of-ayush-pg-entrance-exam-details/638101,timesnownews.com,2020-08-17 05:24:00,NATION
UK COVID-19 daily death count could be scrapped - Telegraph,https://www.theedgemarkets.com/article/uk-covid19-daily-death-count-could-be-scrapped-telegraph,theedgemarkets.com,2020-08-09 21:17:15,HEALTH
Fishing lodge owner criticizes B.C. over order restricting access to Haida Gwaii,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/fishing-lodge-owner-criticizes-b-c-over-order-restricting-access-to-haida-gwaii,nationalpost.com,2020-08-02 11:02:21,NATION
'No-nonsense Sturgeon shows she's the real boss of Scottish football',https://www.bbc.co.uk/sport/football/53701572,bbc.co.uk,2020-08-07 23:16:39,NATION
Hollywood accused of kowtowing to Chinese censorship in Top Gun sequel,https://www.thetimes.co.uk/article/hollywood-accused-of-kowtowing-to-chinese-censorship-in-top-gun-sequel-lhfv5b062,thetimes.co.uk,2020-08-07 23:01:00,WORLD
"'Ancient Temple' Built by 'Intelligent Aliens' Spotted in NASA Mars Image, UFO Hunter Claims",https://sputniknews.com/science/202008131080156025-ancient-temple-built-by-intelligent-aliens-spotted-in-nasa-mars-image-ufo-hunter-claims/,sputniknews.com,2020-08-13 10:23:00,SCIENCE
UK-financed projects in Scotland will fly a Union flag as Boris Johnson battles independence drive,https://www.dailymail.co.uk/news/article-8626979/UK-financed-projects-Scotland-fly-Union-flag-Boris-Johnson-battles-independence-drive.html,dailymail.co.uk,2020-08-14 12:04:36,NATION
"1 in 3 Americans would refuse COVID-19 vaccine, new Gallup poll finds",https://www.msn.com/en-us/news/us/1-in-3-americans-would-refuse-covid-19-vaccine-new-gallup-poll-finds/ar-BB17HHm0?li=BBnbfcL,msn.com,2020-08-07 19:20:00,HEALTH
Actor Zoe Saldana 'so sorry' she played Nina Simone in biopic,https://nationalpost.com/news/actor-zoe-saldana-so-sorry-she-played-nina-simone-in-biopic,nationalpost.com,2020-08-06 13:55:25,ENTERTAINMENT
Hisense 65H8G Review,https://www.pcmag.com/reviews/hisense-65h8g,pcmag.com,2020-08-04 13:48:40,TECHNOLOGY
Debate begins for whos first in line for COVID-19 vaccine,https://georgetown.wickedlocal.com/news/20200803/debate-begins-for-whos-first-in-line-for-covid-19-vaccine,georgetown.wickedlocal.com,2020-08-03 14:55:31,HEALTH
Jack Wilshere sends message to Pierre-Emerick Aubameyang over Arsenal future,https://metro.co.uk/2020/08/03/jack-wilshere-sends-message-pierre-emerick-aubameyang-arsenal-future-13077420/,metro.co.uk,2020-08-03 14:59:00,SPORTS
"Dominic Fike's debut is favorable whirlwind of genres, self-growth",https://www.dailycal.org/2020/08/06/dominic-fikes-debut-is-favorable-whirlwind-of-genres-self-growth/,dailycal.org,2020-08-07 00:47:00,ENTERTAINMENT
"Kim Kardashian and Kanye West ‘set to divorce’ by end of the year, claim friends",https://www.ok.co.uk/celebrity-news/kim-kardashian-kanye-west-divorce-22489027,ok.co.uk,2020-08-08 08:52:00,ENTERTAINMENT
"Apex Legends Season 6 gameplay shows off new hero, crafting, more",https://www.vg247.com/2020/08/15/apex-legends-season-6-gameplay-video/,vg247.com,2020-08-15 19:47:41,TECHNOLOGY
Collingwood has major injury and form issues but don’t dismiss the Magpies as a contender in 2020,https://www.heraldsun.com.au/subscribe/news/1/?sourceCode=HSWEB_WRE170_a&dest=https%3A%2F%2Fwww.heraldsun.com.au%2Fsport%2Fafl%2Fteams%2Fcollingwood%2Fcollingwood-has-major-injury-and-form-issues-but-dont-dismiss-the-magpies-as-a-contender-in-2020%2Fnews-story%2Fea12e749c4032aad9f9e30c37fa74f83&memtype=anonymous&mode=premium&nk=a45be00daafc6a4f6d1d1b39a1655da7-1597670017,heraldsun.com.au,2020-08-17 08:36:00,SPORTS
"Dillian Whyte vs. Alexander Povetkin, Katie Taylor vs. Delfine Persoon: Date, time, TV channel and live stream for Matchroom Fight Camp 4",https://www.dazn.com/en-AU/news/boxing/dillian-whyte-vs-alexander-povetkin-katie-taylor-vs-delfine-persoon-date-fight-time-tv-channel-and-live-stream-for-matchroom-fight-camp-4/1d4qpqjrzjacv1wwjz63z57pim,dazn.com,2020-08-13 17:27:00,SPORTS
Kasper Schmeichel’s old Man City teammate says Leicester goalkeeper’s dream is to play for Manchester Uni,https://talksport.com/football/741788/kasper-schmeichel-man-city-leicester-manchester-united/,talksport.com,2020-08-04 16:14:53,SPORTS
Local Government Ministry commences training of MMDAs to enhance operations,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Local-Government-Ministry-commences-training-of-MMDAs-to-enhance-operations-1026712,ghanaweb.com,2020-08-06 02:24:58,NATION
Claiming coronavirus funding for domestic workers and gardeners – what you need to know,https://businesstech.co.za/news/finance/424576/claiming-coronavirus-funding-for-domestic-workers-and-gardeners-what-you-need-to-know/,businesstech.co.za,2020-08-16 08:03:45,NATION
Big Brother 22 Live Feeds Week 1: Wednesday Daytime Highlights,https://bigbrothernetwork.com/big-brother-22-live-feeds-highlights-daytime-2020-08-12/,bigbrothernetwork.com,2020-08-12 22:03:21,ENTERTAINMENT
"WATCH Davido's Brother, Adewale & Wife Travel In Their New Private Jet",https://www.ghgossip.com/watch-davidos-brother-adewale-wife-travel-in-their-new-private-jet/,ghgossip.com,2020-08-10 14:46:00,ENTERTAINMENT
Antares launches auto-tune subscription service,https://www.musicinafrica.net/magazine/antares-launches-auto-tune-subscription-service,musicinafrica.net,2020-08-17 15:59:50,TECHNOLOGY
China sentences fourth Canadian to death on drug charges,https://www.dawn.com/news/1573104/china-sentences-fourth-canadian-to-death-on-drug-charges,dawn.com,2020-08-07 10:38:59,WORLD
"ACT leader David Seymour proposes changing parliamentary calendar to help climate, reduce spending",https://www.newshub.co.nz/home/politics/2020/08/act-leader-david-seymour-proposes-changing-parliamentary-calendar-to-help-climate-reduce-spending.html,newshub.co.nz,2020-08-04 06:24:06,NATION
"Sinovac launches Phase 3 trial for COVID-19 vaccine in Indonesia, reports Phase 2 details",https://indianexpress.com/article/coronavirus/sinovac-launches-phase-3-trial-for-covid-19-vaccine-in-indonesia-reports-phase-2-details-6550018/,indianexpress.com,2020-08-11 08:46:08,WORLD
Judge dismisses Genius suit alleging Google stole its lyrics,https://www.htxt.co.za/2020/08/12/judge-dismisses-genius-suit-alleging-google-stole-its-lyrics/,htxt.co.za,2020-08-12 12:45:00,TECHNOLOGY
"Vietnam Margarine & Shortening Market 2020 Global Growth Rate by Recent Developments, Size, Market Trends, and Latest Technology, Forecast Research Report 2024 – Bulletin Line",https://bulletinline.com/2020/08/05/vietnam-margarine-shortening-market-2020-global-growth-rate-by-recent-developments-size-market-trends-and-latest-technology-forecast-research-report-2024/,bulletinline.com,2020-08-05 16:27:00,BUSINESS
Government rescue talks with Jaguar Land Rover 'have ended',https://www.coventrytelegraph.net/news/coventry-news/government-rescue-talks-jaguar-land-18775119,coventrytelegraph.net,2020-08-15 12:46:00,BUSINESS
Perseid meteor shower 2020: How and when to watch the sky’s best show of the year,https://www.ajc.com/news/world/perseid-meteor-shower-2018-how-and-when-watch-the-sky-best-show-the-year/z38vgMju4GvdpyT8GqWvuN/,ajc.com,2018-08-03 18:40:59,SCIENCE
Coronavirus proving 'exceptionally difficult to stop' warns WHO,https://www.businessinsider.com/coronavirus-proving-exceptionally-difficult-to-stop-warns-who-2020-8,businessinsider.com,2020-08-11 10:49:46,HEALTH
'Bloody widow' tag was not from social media - Inusah Fuseini justifies,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Bloody-widow-tag-was-not-from-social-media-Inusah-Fuseini-justifies-1035955,ghanaweb.com,2020-08-17 16:26:40,NATION
"NPCI to expand payments network with NFC, looks to challenge private heavyweights: Report",https://www.moneycontrol.com/news/business/npci-to-expand-payments-network-with-nfc-looks-to-challenge-private-heavyweights-report-5648001.html,moneycontrol.com,2020-08-05 07:34:00,BUSINESS
U.S. sees 'signals of efficacy' from treating COVID-19 patients with blood of recovered,https://www.cp24.com/news/u-s-sees-signals-of-efficacy-from-treating-covid-19-patients-with-blood-of-recovered-1.5064923,cp24.com,2020-08-14 19:56:00,HEALTH
"England vs Pakistan, second Test, day five: live score and latest updates",https://www.telegraph.co.uk/cricket/2020/08/17/england-vs-pakistan-second-test-day-five-live-score-latest-updates/,telegraph.co.uk,2020-08-17 12:01:48,SPORTS
Phoenix Suns center Deandre Ayton missed coronavirus test Sunday,https://www.espn.com/nba/story/_/id/29634166/source-phoenix-suns-deandre-ayton-missed-coronavirus-test-sunday,espn.com,2020-08-10 19:37:57,SPORTS
Industrial Grade Potassium Soft Soap Market Forecast Research Reports Offers Key Insights,https://divorcediva.co.uk/uncategorised/8356/industrial-grade-potassium-soft-soap-market-forecast-research-reports-offers-key-insights/,divorcediva.co.uk,2020-08-06 19:45:47,BUSINESS
Rugged UMIDIGI BISON unveiled with great specs and sleek design,https://www.gizchina.com/2020/08/17/rugged-umidigi-bison-unveiled-with-great-specs-and-sleek-design/,gizchina.com,2020-08-17 17:16:21,TECHNOLOGY
[Video] Galaxy Note20: Untold Stories – Samsung Global Newsroom,https://news.samsung.com/global/video-galaxy-note20-untold-stories,news.samsung.com,2020-08-11 08:07:01,TECHNOLOGY
Grab Expands Suite of Financial Product to Include Micro-investment Platform,https://fintechnews.sg/42531/wealthtech/grab-expands-suite-of-financial-product-to-include-microinvestment-plaftorm/,fintechnews.sg,2020-08-04 06:50:13,BUSINESS
Blaise Matuidi leaves Juventus amid Inter Miami links,https://www.bbc.co.uk/sport/football/53745077,bbc.co.uk,2020-08-12 17:06:39,SPORTS
"Over five million apply for 400,000 N-Power batch-C jobs",https://thenationonlineng.net/over-five-million-apply-for-400000-n-power-batch-c-jobs/,thenationonlineng.net,2020-08-11 13:56:48,NATION
"MotoGP, A.Espargarò slams Petrucci for on and off-track actions",https://www.gpone.com/en/2020/08/15/motogp/a-espargaro-slams-petrucci-for-on-and-off-track-actions.html,gpone.com,2020-08-15 16:16:15,SPORTS
"Weather, pandemic put damper on float down (GALLERY)",https://blackburnnews.com/sarnia/sarnia-news/2020/08/16/weather-pandemic-put-damper-float/,blackburnnews.com,2020-08-16 20:23:00,WORLD
WhatsApp launches factcheck feature aimed at viral messages,https://www.theguardian.com/technology/2020/aug/04/whatsapp-launches-factcheck-feature-aimed-at-viral-messages,theguardian.com,2020-08-04 13:53:00,TECHNOLOGY
HSA Warns People About Three Supplemental Products Tainted With Harmful Substances,https://www.myhealthyclick.com/hsa-warns-people-about-three-supplemental-products-tainted-with-harmful-substances/,myhealthyclick.com,2020-08-07 07:25:08,HEALTH
"WH Smith and M&Co to cut 1,900 jobs as Covid-19 hits sales",https://www.theguardian.com/business/2020/aug/05/wh-smith-to-cut-1500-jobs-as-covid-19-crisis-hits-sales,theguardian.com,2020-08-05 08:50:00,BUSINESS
Hallmark Channel celebrates first same-sex wedding in new movie 'Wedding Every Weekend',https://ew.com/movies/hallmark-channel-same-sex-wedding-wedding-every-weekend/,ew.com,2020-08-16 16:39:00,ENTERTAINMENT
"Election 2020: Winston Peters praises PM Jacinda Ardern, criticises 'woke movement'",https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12354268,nzherald.co.nz,2020-08-06 03:06:47,NATION
Can newbie ‘The Masked Singer’ take out reigning queen ‘RuPaul’s Drag Race’ at Emmys?,https://www.goldderby.com/article/2020/the-masked-singer-emmys-rupauls-drag-race/,goldderby.com,2020-08-06 14:00:00,ENTERTAINMENT
New Jersey Gives Schools an All-Remote Option,https://www.nytimes.com/2020/08/12/nyregion/nj-schools-reopening.html,nytimes.com,2020-08-12 23:21:00,NATION
Vancouver nightclub in Trump Tower added to COVID-19 exposure list,https://bc.ctvnews.ca/nightclub-in-trump-tower-added-to-vancouver-health-authority-s-covid-19-exposure-list-1.5062817,bc.ctvnews.ca,2020-08-13 15:04:00,HEALTH
Ex-Hollyoaks star Gemma Atkinson trolled after episode repeats,https://www.digitalspy.com/soaps/hollyoaks/a33592148/hollyoaks-gemma-atkinson-weight-trolls-lisa-hunter/,digitalspy.com,2020-08-13 09:56:00,ENTERTAINMENT
"Global Infant Radiant Warmer Market, Forecast to 2027 - COVID-19 Impact and Analysis by Product Type, End User and Region - ResearchAndMarkets.com",https://finance.yahoo.com/news/global-infant-radiant-warmer-market-120400909.html,finance.yahoo.com,2020-08-11 12:04:00,BUSINESS
"Environment Canada ends tornado warning for Perth County, confirms twister near Mitchell",https://london.ctvnews.ca/environment-canada-confirms-twister-near-mitchell-1.5049604,london.ctvnews.ca,2020-08-03 16:59:00,NATION
Shatta Wale performs with Sarkodie at Black Love concert (Video),https://yen.com.gh/167029-shatta-wale-performs-sarkodie-black-love-concert-video.html,yen.com.gh,2020-08-17 02:06:00,ENTERTAINMENT
Growing unease over coronavirus spike in Liverpool region,https://www.liverpoolecho.co.uk/news/liverpool-news/growing-unease-over-new-coronavirus-18732955,liverpoolecho.co.uk,2020-08-08 09:49:00,SCIENCE
"Costa Rica coronavirus updates for Sunday, August 2 – The Tico Times | Costa Rica News | Travel | Real Estate",https://ticotimes.net/2020/08/02/costa-rica-coronavirus-updates-for-sunday-august-2,ticotimes.net,2020-08-03 00:57:47,WORLD
Christchurch Hospital car parking back to old Deans Ave site,https://www.stuff.co.nz/national/health/122439891/christchurch-hospital-car-parking-back-to-old-deans-ave-site,stuff.co.nz,2020-08-13 04:57:00,NATION
Ethiopian Airlines is cleverly adapting to survive Covid-19,http://www.capetalk.co.za/articles/382079/ethiopian-airlines-is-cleverly-adapting-to-survive-covid-19,capetalk.co.za,2020-04-28 17:45:03,NATION
FTSE 100 index seen pushing ahead after jump by US stocks on stimulus progress hope,https://www.proactiveinvestors.co.uk/companies/news/926323/ftse-100-index-seen-pushing-ahead-after-jump-by-us-stocks-on-stimulus-progress-hope-926323.html,proactiveinvestors.co.uk,2020-08-11 05:27:00,BUSINESS
Structural Color—from Fat,https://www.osa-opn.org/home/newsroom/2020/august/structural_color%E2%80%94from_fat/,osa-opn.org,2020-08-07 10:00:00,SCIENCE
Norwich City transfer rumours: Villa track Buendia and Cantwell. Plus why City's top talent is in demand,https://www.pinkun.com/norwich-city/canaries-emi-buendia-todd-cantwell-transfer-rumours-1-6790311,pinkun.com,2020-08-13 08:28:26,SPORTS
The Moon's Lava Tubes Might Fit Entire Cities,https://www.newser.com/story/294977/the-moons-lava-tubes-can-fit-entire-cities.html,newser.com,2020-08-15 21:10:00,SCIENCE
"I was tempted, says pastor accused of raping 11-year-old girl in Imo",https://www.vanguardngr.com/2020/08/i-was-tempted-says-pastor-accused-of-raping-11-year-old-girl-in-imo/,vanguardngr.com,2020-08-05 18:33:00,NATION
Farfetch Limited (FTCH) Q2 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/08/14/farfetch-limited-ftch-q2-2020-earnings-call-transc/,fool.com,2020-08-14 12:00:54,BUSINESS
Yankees’ Aaron Boone points out costly ’mistake’ from Mike Tauchman,https://www.nj.com/yankees/2020/08/yankees-aaron-boone-points-out-costly-mistake-from-mike-tauchman.html,nj.com,2020-08-08 13:00:00,SPORTS
Coronavirus spurs Japan to develop contactless garbage collection,https://www.japantimes.co.jp/news/2020/08/14/national/coronavirus-japan-contactless-garbage-collection/,japantimes.co.jp,2020-08-14 06:05:00,HEALTH
Home of the oil sands eyes cleaner future as hydrogen superpower,https://www.bnnbloomberg.ca/home-of-the-oil-sands-eyes-cleaner-future-as-hydrogen-superpower-1.1479450,bnnbloomberg.ca,2020-08-13 10:02:22,BUSINESS
TattsLotto winner was ‘too distracted’ to check winning $1m lottery ticket,https://www.news.com.au/finance/money/wealth/tattslotto-winner-was-too-distracted-to-check-winning-1m-lottery-ticket/news-story/74b4513ee9fd392c2723d38cb424537f,news.com.au,2020-08-17 04:11:12,NATION
Prehistory Modern man spent the night in grass beds 200000 years ago – the ashes of the platform and the medicinal plants kept the insects at bay,https://pledgetimes.com/prehistory-modern-man-spent-the-night-in-grass-beds-200000-years-ago-the-ashes-of-the-platform-and-the-medicinal-plants-kept-the-insects-at-bay/,pledgetimes.com,2020-08-17 11:01:29,SCIENCE
Decoded: How our brain identifies faces like a computer system,https://www.sify.com/news/decoded-how-our-brain-identifies-faces-like-a-computer-system-news-education-uirolKcibddbe.html,sify.com,2020-08-17 13:44:07,HEALTH
